Date,T sensor 1,T sensor 2,T sensor 3,T sensor 4
2017/05/18 12:15:00,519.72,450.69,810.83,605.18
2017/05/18 12:30:00,558.92,431.48,577.81,810.83
2017/05/18 12:45:00,287.86,287.62,287.24,286.64
2017/05/18 13:00:00,287.86,287.6,287.21,286.64
2017/05/18 13:15:00,287.86,287.6,287.21,286.64
2017/05/18 13:30:00,287.86,287.6,287.21,286.64
2017/05/18 13:45:00,287.84,287.6,287.21,286.64
2017/05/18 14:00:00,287.84,287.6,287.21,286.64
2017/05/18 14:15:00,287.84,287.6,287.21,286.64
2017/05/18 14:30:00,287.81,287.57,287.21,286.64
2017/05/18 14:45:00,287.81,287.57,287.21,286.64
2017/05/18 15:00:00,287.81,287.55,287.21,286.64
2017/05/18 15:15:00,287.81,287.55,287.21,286.64
2017/05/18 15:30:00,287.79,287.55,287.21,286.64
2017/05/18 15:45:00,287.79,287.55,287.21,286.64
2017/05/18 16:00:00,287.79,287.55,287.21,286.64
2017/05/18 16:15:00,287.79,287.55,287.21,286.64
2017/05/18 16:30:00,287.79,287.55,287.19,286.64
2017/05/18 16:45:00,287.79,287.55,287.19,286.64
2017/05/18 17:00:00,287.79,287.53,287.19,286.64
2017/05/18 17:15:00,287.79,287.55,287.19,286.64
2017/05/18 17:30:00,287.79,287.55,287.19,286.64
2017/05/18 17:45:00,287.81,287.53,287.19,286.64
2017/05/18 18:00:00,287.81,287.53,287.19,286.64
2017/05/18 18:15:00,287.81,287.55,287.19,286.64
2017/05/18 18:30:00,287.81,287.53,287.19,286.66
2017/05/18 18:45:00,287.84,287.55,287.19,286.66
2017/05/18 19:00:00,287.84,287.53,287.19,286.66
2017/05/18 19:15:00,287.86,287.55,287.19,286.66
2017/05/18 19:30:00,287.88,287.55,287.19,286.66
2017/05/18 19:45:00,287.86,287.55,287.19,286.66
2017/05/18 20:00:00,287.88,287.55,287.19,286.66
2017/05/18 20:15:00,287.91,287.55,287.19,286.66
2017/05/18 20:30:00,287.91,287.55,287.19,286.66
2017/05/18 20:45:00,287.91,287.55,287.19,286.66
2017/05/18 21:00:00,287.91,287.57,287.19,286.68
2017/05/18 21:15:00,287.91,287.57,287.19,286.68
2017/05/18 21:30:00,287.91,287.57,287.19,286.68
2017/05/18 21:45:00,287.91,287.57,287.19,286.68
2017/05/18 22:00:00,287.91,287.57,287.21,286.68
2017/05/18 22:15:00,287.91,287.57,287.21,286.68
2017/05/18 22:30:00,287.91,287.57,287.21,286.68
2017/05/18 22:45:00,287.88,287.57,287.21,286.68
2017/05/18 23:00:00,287.88,287.57,287.21,286.68
2017/05/18 23:15:00,287.86,287.6,287.21,286.71
2017/05/18 23:30:00,287.86,287.57,287.21,286.71
2017/05/18 23:45:00,287.86,287.57,287.21,286.71
2017/05/19 00:00:00,287.84,287.57,287.21,286.71
2017/05/19 00:15:00,287.81,287.57,287.21,286.71
2017/05/19 00:30:00,287.81,287.57,287.21,286.71
2017/05/19 00:45:00,287.79,287.55,287.21,286.71
2017/05/19 01:00:00,287.77,287.57,287.21,286.71
2017/05/19 01:15:00,287.74,287.55,287.21,286.71
2017/05/19 01:30:00,287.74,287.55,287.21,286.71
2017/05/19 01:45:00,287.72,287.55,287.21,286.71
2017/05/19 02:00:00,287.69,287.53,287.21,286.71
2017/05/19 02:15:00,287.67,287.53,287.21,286.71
2017/05/19 02:30:00,287.65,287.53,287.21,286.73
2017/05/19 02:45:00,287.62,287.5,287.21,286.73
2017/05/19 03:00:00,287.62,287.48,287.21,286.73
2017/05/19 03:15:00,287.6,287.48,287.21,286.71
2017/05/19 03:30:00,287.57,287.48,287.19,286.71
2017/05/19 03:45:00,287.55,287.45,287.19,286.73
2017/05/19 04:00:00,287.53,287.45,287.19,286.71
2017/05/19 04:15:00,287.5,287.43,287.19,286.71
2017/05/19 04:30:00,287.48,287.43,287.19,286.71
2017/05/19 04:45:00,287.45,287.41,287.17,286.71
2017/05/19 05:00:00,287.43,287.41,287.17,286.71
2017/05/19 05:15:00,287.41,287.38,287.17,286.73
2017/05/19 05:30:00,287.38,287.36,287.14,286.71
2017/05/19 05:45:00,287.33,287.36,287.14,286.71
2017/05/19 06:00:00,287.33,287.33,287.14,286.71
2017/05/19 06:15:00,287.29,287.33,287.14,286.71
2017/05/19 06:30:00,287.26,287.31,287.14,286.71
2017/05/19 06:45:00,287.24,287.29,287.12,286.71
2017/05/19 07:00:00,287.21,287.29,287.12,286.71
2017/05/19 07:15:00,287.19,287.26,287.12,286.71
2017/05/19 07:30:00,287.17,287.24,287.09,286.68
2017/05/19 07:45:00,287.14,287.24,287.09,286.71
2017/05/19 08:00:00,287.12,287.21,287.09,286.68
2017/05/19 08:15:00,287.09,287.19,287.07,286.68
2017/05/19 08:30:00,287.07,287.17,287.07,286.68
2017/05/19 08:45:00,287.05,287.17,287.05,286.68
2017/05/19 09:00:00,287.0,287.14,287.05,286.68
2017/05/19 09:15:00,286.97,287.12,287.02,286.66
2017/05/19 09:30:00,286.95,287.12,287.02,286.66
2017/05/19 09:45:00,286.92,287.09,287.02,286.66
2017/05/19 10:00:00,286.92,287.07,287.0,286.66
2017/05/19 10:15:00,286.88,287.05,287.0,286.64
2017/05/19 10:30:00,286.85,287.05,286.97,286.64
2017/05/19 10:45:00,286.85,287.02,286.97,286.64
2017/05/19 11:00:00,286.83,287.0,286.95,286.64
2017/05/19 11:15:00,286.8,287.0,286.95,286.64
2017/05/19 11:30:00,286.78,286.97,286.92,286.64
2017/05/19 11:45:00,286.76,286.95,286.92,286.61
2017/05/19 12:00:00,286.73,286.92,286.92,286.61
2017/05/19 12:15:00,286.73,286.92,286.9,286.61
2017/05/19 12:30:00,286.71,286.9,286.9,286.61
2017/05/19 12:45:00,286.68,286.9,286.88,286.59
2017/05/19 13:00:00,286.68,286.88,286.88,286.59
2017/05/19 13:15:00,286.66,286.85,286.85,286.59
2017/05/19 13:30:00,286.66,286.85,286.85,286.56
2017/05/19 13:45:00,286.64,286.83,286.83,286.56
2017/05/19 14:00:00,286.64,286.83,286.83,286.56
2017/05/19 14:15:00,286.61,286.8,286.83,286.56
2017/05/19 14:30:00,286.61,286.78,286.8,286.54
2017/05/19 14:45:00,286.61,286.78,286.8,286.54
2017/05/19 15:00:00,286.61,286.76,286.8,286.54
2017/05/19 15:15:00,286.59,286.76,286.78,286.54
2017/05/19 15:30:00,286.59,286.76,286.78,286.52
2017/05/19 15:45:00,286.59,286.73,286.76,286.52
2017/05/19 16:00:00,286.59,286.73,286.76,286.52
2017/05/19 16:15:00,286.59,286.73,286.76,286.49
2017/05/19 16:30:00,286.59,286.71,286.73,286.49
2017/05/19 16:45:00,286.59,286.71,286.73,286.49
2017/05/19 17:00:00,286.59,286.71,286.71,286.47
2017/05/19 17:15:00,286.59,286.71,286.71,286.47
2017/05/19 17:30:00,286.59,286.68,286.71,286.47
2017/05/19 17:45:00,286.59,286.68,286.68,286.47
2017/05/19 18:00:00,286.61,286.68,286.68,286.47
2017/05/19 18:15:00,286.61,286.68,286.68,286.44
2017/05/19 18:30:00,286.61,286.68,286.68,286.44
2017/05/19 18:45:00,286.61,286.68,286.66,286.44
2017/05/19 19:00:00,286.61,286.68,286.66,286.44
2017/05/19 19:15:00,286.61,286.68,286.66,286.44
2017/05/19 19:30:00,286.64,286.66,286.66,286.42
2017/05/19 19:45:00,286.64,286.66,286.66,286.42
2017/05/19 20:00:00,286.64,286.66,286.64,286.42
2017/05/19 20:15:00,286.64,286.66,286.64,286.42
2017/05/19 20:30:00,286.64,286.66,286.64,286.4
2017/05/19 20:45:00,286.64,286.66,286.64,286.4
2017/05/19 21:00:00,286.64,286.66,286.64,286.4
2017/05/19 21:15:00,286.64,286.66,286.64,286.4
2017/05/19 21:30:00,286.64,286.66,286.64,286.37
2017/05/19 21:45:00,286.64,286.66,286.64,286.37
2017/05/19 22:00:00,286.66,286.66,286.61,286.37
2017/05/19 22:15:00,286.64,286.66,286.61,286.37
2017/05/19 22:30:00,286.64,286.66,286.61,286.37
2017/05/19 22:45:00,286.64,286.66,286.61,286.37
2017/05/19 23:00:00,286.64,286.66,286.61,286.37
2017/05/19 23:15:00,286.64,286.66,286.61,286.37
2017/05/19 23:30:00,286.64,286.66,286.61,286.35
2017/05/19 23:45:00,286.64,286.66,286.59,286.35
2017/05/20 00:00:00,286.64,286.64,286.59,286.35
2017/05/20 00:15:00,286.61,286.64,286.59,286.35
2017/05/20 00:30:00,286.61,286.64,286.59,286.35
2017/05/20 00:45:00,286.61,286.64,286.59,286.35
2017/05/20 01:00:00,286.59,286.64,286.59,286.35
2017/05/20 01:15:00,286.56,286.64,286.59,286.35
2017/05/20 01:30:00,286.56,286.64,286.56,286.35
2017/05/20 01:45:00,286.54,286.61,286.56,286.32
2017/05/20 02:00:00,286.54,286.61,286.56,286.32
2017/05/20 02:15:00,286.54,286.61,286.56,286.32
2017/05/20 02:30:00,286.52,286.59,286.56,286.32
2017/05/20 02:45:00,286.49,286.59,286.56,286.32
2017/05/20 03:00:00,286.49,286.59,286.56,286.32
2017/05/20 03:15:00,286.47,286.59,286.54,286.3
2017/05/20 03:30:00,286.47,286.56,286.54,286.3
2017/05/20 03:45:00,286.44,286.56,286.54,286.3
2017/05/20 04:00:00,286.42,286.54,286.54,286.3
2017/05/20 04:15:00,286.42,286.54,286.54,286.3
2017/05/20 04:30:00,286.4,286.54,286.54,286.3
2017/05/20 04:45:00,286.37,286.54,286.52,286.3
2017/05/20 05:00:00,286.37,286.52,286.52,286.3
2017/05/20 05:15:00,286.35,286.49,286.52,286.3
2017/05/20 05:30:00,286.35,286.49,286.49,286.3
2017/05/20 05:45:00,286.32,286.49,286.49,286.27
2017/05/20 06:00:00,286.3,286.47,286.49,286.27
2017/05/20 06:15:00,286.27,286.47,286.49,286.27
2017/05/20 06:30:00,286.27,286.44,286.49,286.27
2017/05/20 06:45:00,286.23,286.44,286.47,286.27
2017/05/20 07:00:00,286.2,286.42,286.47,286.25
2017/05/20 07:15:00,286.2,286.42,286.47,286.25
2017/05/20 07:30:00,286.18,286.42,286.44,286.25
2017/05/20 07:45:00,286.15,286.4,286.44,286.23
2017/05/20 08:00:00,286.13,286.37,286.44,286.23
2017/05/20 08:15:00,286.11,286.37,286.42,286.23
2017/05/20 08:30:00,286.11,286.35,286.42,286.2
2017/05/20 08:45:00,286.08,286.35,286.42,286.2
2017/05/20 09:00:00,286.08,286.32,286.4,286.2
2017/05/20 09:15:00,286.06,286.32,286.4,286.2
2017/05/20 09:30:00,286.03,286.3,286.4,286.2
2017/05/20 09:45:00,286.01,286.3,286.37,286.18
2017/05/20 10:00:00,286.01,286.27,286.37,286.18
2017/05/20 10:15:00,285.98,286.27,286.37,286.18
2017/05/20 10:30:00,285.96,286.25,286.35,286.18
2017/05/20 10:45:00,285.96,286.23,286.35,286.18
2017/05/20 11:00:00,285.94,286.2,286.35,286.15
2017/05/20 11:15:00,285.91,286.2,286.32,286.15
2017/05/20 11:30:00,285.91,286.18,286.32,286.15
2017/05/20 11:45:00,285.89,286.18,286.32,286.13
2017/05/20 12:00:00,285.89,286.15,286.3,286.13
2017/05/20 12:15:00,285.86,286.15,286.3,286.13
2017/05/20 12:30:00,285.86,286.13,286.27,286.13
2017/05/20 12:45:00,285.86,286.13,286.27,286.11
2017/05/20 13:00:00,285.86,286.11,286.25,286.11
2017/05/20 13:15:00,285.84,286.11,286.25,286.11
2017/05/20 13:30:00,285.84,286.11,286.23,286.11
2017/05/20 13:45:00,285.84,286.08,286.23,286.08
2017/05/20 14:00:00,285.82,286.08,286.2,286.08
2017/05/20 14:15:00,285.82,286.06,286.2,286.08
2017/05/20 14:30:00,285.82,286.06,286.2,286.06
2017/05/20 14:45:00,285.82,286.06,286.18,286.06
2017/05/20 15:00:00,285.82,286.06,286.18,286.06
2017/05/20 15:15:00,285.82,286.06,286.18,286.06
2017/05/20 15:30:00,285.82,286.03,286.15,286.06
2017/05/20 15:45:00,285.84,286.03,286.15,286.03
2017/05/20 16:00:00,285.84,286.03,286.15,286.03
2017/05/20 16:15:00,285.84,286.03,286.15,286.03
2017/05/20 16:30:00,285.84,286.03,286.13,286.01
